timestamp,sensor_id,temperature_celsius
2024-01-15T11:29:45,sensor_2,22.0
2024-01-15T11:30:22,sensor_3,23.6
2024-01-15T11:30:58,sensor_1,23.1
2024-01-15T11:31:35,sensor_2,21.9
2024-01-15T11:32:11,sensor_3,23.5
2024-01-15T11:32:48,sensor_1,23.0
2024-01-15T11:33:24,sensor_2,21.8
2024-01-15T11:34:01,sensor_3,23.4
2024-01-15T11:34:37,sensor_1,22.9
2024-01-15T11:35:14,sensor_2,21.7
2024-01-15T11:35:50,sensor_3,23.3
2024-01-15T11:36:27,sensor_1,22.8
2024-01-15T11:37:03,sensor_2,21.6
2024-01-15T11:37:40,sensor_3,23.2
2024-01-15T11:38:16,sensor_1,22.7
2024-01-15T11:38:53,sensor_2,21.5
2024-01-15T11:39:29,sensor_3,23.1
2024-01-15T11:40:06,sensor_1,22.6
2024-01-15T11:40:42,sensor_2,21.4
2024-01-15T11:41:19,sensor_3,23.0
