2024-01-15 14:23:12.445 NTLM_NEGOTIATE | 192.168.1.105:49232 -> 10.0.5.12:445 | SessionID: a4f2e891 | Challenge: NULL | Response: NULL | TimeDelta: 0ms | Status: PENDING
2024-01-15 14:28:05.123 NTLM_NEGOTIATE | 192.168.1.78:49456 -> 10.0.5.20:445 | SessionID: d5e6f7a8 | Challenge: NULL | Response: NULL | TimeDelta: 0ms | Status: PENDING
2024-01-15 14:28:05.201 NTLM_CHALLENGE | 10.0.5.20:445 -> 192.168.1.78:49456 | SessionID: d5e6f7a8 | Challenge: 4b5c6d7e8f9a1b2c | Response: NULL | TimeDelta: 78ms | Status: PENDING
2024-01-15 14:28:05.334 NTLM_AUTHENTICATE | 192.168.1.78:49456 -> 10.0.5.20:445 | SessionID: d5e6f7a8 | Challenge: 4b5c6d7e8f9a1b2c | Response: 3d4e5f6a7b8c9d1e | TimeDelta: 133ms | Status: SUCCESS
2024-01-15 14:29:42.556 NTLM_NEGOTIATE | 192.168.1.110:49501 -> 10.0.5.18:445 | SessionID: e7f8a9b1 | Challenge: NULL | Response: NULL | TimeDelta: 0ms | Status: PENDING
2024-01-15 14:29:42.621 NTLM_CHALLENGE | 10.0.5.18:445 -> 192.168.1.110:49501 | SessionID: e7f8a9b1 | Challenge: 6e7f8a9b1c2d3e4f | Response: NULL | TimeDelta: 65ms | Status: PENDING
2024-01-15 14:29:42.789 NTLM_AUTHENTICATE | 192.168.1.110:49501 -> 10.0.5.18:445 | SessionID: e7f8a9b1 | Challenge: 6e7f8a9b1c2d3e4f | Response: 2f3a4b5c6d7e8f9a | TimeDelta: 168ms | Status: SUCCESS
2024-01-15 14:31:15.334 NTLM_NEGOTIATE | 192.168.1.95:49567 -> 10.0.5.10:445 | SessionID: a1b2c3d4 | Challenge: NULL | Response: NULL | TimeDelta: 0ms | Status: PENDING
2024-01-15 14:31:15.412 NTLM_CHALLENGE | 10.0.5.10:445 -> 192.168.1.95:49567 | SessionID: a1b2c3d4 | Challenge: 8d9e1f2a3b4c5d6e | Response: NULL | TimeDelta: 78ms | Status: PENDING
2024-01-15 14:31:15.523 NTLM_AUTHENTICATE | 192.168.1.95:49567 -> 10.0.5.10:445 | SessionID: a1b2c3d4 | Challenge: 8d9e1f2a3b4c5d6e | Response: 7f8a9b1c2d3e4f5a | TimeDelta: 111ms | Status: SUCCESS
2024-01-15 14:32:48.778 NTLM_NEGOTIATE | 192.168.1.100:49623 -> 192.168.1.50:445 | SessionID: c4d5e6f7 | Challenge: NULL | Response: NULL | TimeDelta: 0ms | Status: PENDING
2024-01-15 14:32:48.783 NTLM_NEGOTIATE | 192.168.1.50:49624 -> 10.0.5.25:445 | SessionID: c4d5e6f8 | Challenge: NULL | Response: NULL | TimeDelta: 0ms | Status: PENDING
2024-01-15 14:32:48.812 NTLM_CHALLENGE | 10.0.5.25:445 -> 192.168.1.50:49624 | SessionID: c4d5e6f8 | Challenge: 5a6b7c8d9e1f2a3b | Response: NULL | TimeDelta: 29ms | Status: PENDING
2024-01-15 14:32:48.816 NTLM_CHALLENGE | 192.168.1.50:445 -> 192.168.1.100:49623 | SessionID: c4d5e6f7 | Challenge: 5a6b7c8d9e1f2a3b | Response: NULL | TimeDelta: 4ms | Status: PENDING
2024-01-15 14:32:48.967 NTLM_AUTHENTICATE | 192.168.1.100:49623 -> 192.168.1.50:445 | SessionID: c4d5e6f7 | Challenge: 5a6b7c8d9e1f2a3b | Response: 4c5d6e7f8a9b1c2d | TimeDelta: 151ms | Status: PENDING
2024-01-15 14:32:48.971 NTLM_AUTHENTICATE | 192.168.1.50:49624 -> 10.0.5.25:445 | SessionID: c4d5e6f8 | Challenge: 5a6b7c8d9e1f2a3b | Response: 4c5d6e7f8a9b1c2d | TimeDelta: 4ms | Status: SUCCESS
2024-01-15 14:33:22.445 NTLM_NEGOTIATE | 192.168.1.88:49678 -> 10.0.5.22:445 | SessionID: b2c3d4e5 | Challenge: NULL | Response: NULL | TimeDelta: 0ms | Status: PENDING
2024-01-15 14:33:22.512 NTLM_CHALLENGE | 10.0.5.22:445 -> 192.168.1.88:49678 | SessionID: b2c3d4e5 | Challenge: 1f2a3b4c5d6e7f8a | Response: NULL | TimeDelta: 67ms | Status: PENDING
2024-01-15 14:33:22.634 NTLM_AUTHENTICATE | 192.168.1.88:49678 -> 10.0.5.22:445 | SessionID: b2c3d4e5 | Challenge: 1f2a3b4c5d6e7f8a | Response: 9b1c2d3e4f5a6b7c | TimeDelta: 122ms | Status: SUCCESS
2024-01-15 14:34:56.889 NTLM_NEGOTIATE | 192.168.1.103:49734 -> 10.0.5.14:445 | SessionID: e8f9a1b2 | Challenge: NULL | Response: NULL | TimeDelta: 0ms | Status: PENDING
2024-01-15 14:34:56.956 NTLM_CHALLENGE | 10.0.5.14:445 -> 192.168.1.103:49734 | SessionID: e8f9a1b2 | Challenge: 3e4f5a6b7c8d9e1f | Response: NULL | TimeDelta: 67ms | Status: PENDING
2024-01-15 14:34:57.112 NTLM_AUTHENTICATE | 192.168.1.103:49734 -> 10.0.5.14:445 | SessionID: e8f9a1b2 | Challenge: 3e4f5a6b7c8d9e1f | Response: 2a3b4c5d6e7f8a9b | TimeDelta: 156ms | Status: SUCCESS
2024-01-15 14:36:11.223 NTLM_NEGOTIATE | 192.168.1.100:49789 -> 192.168.1.50:445 | SessionID: d7e8f9a1 | Challenge: NULL | Response: NULL | TimeDelta: 0ms | Status: PENDING
2024-01-15 14:36:11.227 NTLM_NEGOTIATE | 192.168.1.50:49790 -> 10.0.5.25:445 | SessionID: d7e8f9a2 | Challenge: NULL | Response: NULL | TimeDelta: 0ms | Status: PENDING
2024-01-15 14:36:11.254 NTLM_CHALLENGE | 10.0.5.25:445 -> 192.168.1.50:49790 | SessionID: d7e8f9a2 | Challenge: 9a1b2c3d4e5f6a7b | Response: NULL | TimeDelta: 27ms | Status: PENDING
2024-01-15 14:36:11.258 NTLM_CHALLENGE | 192.168.1.50:445 -> 192.168.1.100:49789 | SessionID: d7e8f9a1 | Challenge: 9a1b2c3d4e5f6a7b | Response: NULL | TimeDelta: 4ms | Status: PENDING
2024-01-15 14:36:11.401 NTLM_AUTHENTICATE | 192.168.1.100:49789 -> 192.168.1.50:445 | SessionID: d7e8f9a1 | Challenge: 9a1b2c3d4e5f6a7b | Response: 8b9c1d2e3f4a5b6c | TimeDelta: 143ms | Status: PENDING
2024-01-15 14:36:11.406 NTLM_AUTHENTICATE | 192.168.1.50:49790 -> 10.0.5.25:445 | SessionID: d7e8f9a2 | Challenge: 9a1b2c3d4e5f6a7b | Response: 8b9c1d2e3f4a5b6c | TimeDelta: 5ms | Status: SUCCESS
2024-01-15 14:37:03.567 NTLM_NEGOTIATE | 192.168.1.115:49845 -> 10.0.5.16:445 | SessionID: f1a2b3c4 | Challenge: NULL | Response: NULL | TimeDelta: 0ms | Status: PENDING
2024-01-15 14:37:03.641 NTLM_CHALLENGE | 10.0.5.16:445 -> 192.168.1.115:49845 | SessionID: f1a2b3c4 | Challenge: 6c7d8e9f1a2b3c4d | Response: NULL | TimeDelta: 74ms | Status: PENDING
2024-01-15 14:37:03.767 NTLM_AUTHENTICATE | 192.168.1.115:49845 -> 10.0.5.16:445 | SessionID: f1a2b3c4 | Challenge: 6c7d8e9f1a2b3c4d | Response: 5e6f7a8b9c1d2e3f | TimeDelta: 126ms | Status: SUCCESS
2024-01-15 14:38:29.334 NTLM_NEGOTIATE | 192.168.1.82:49901 -> 10.0.5.11:445 | SessionID: a5b6c7d8 | Challenge: NULL | Response: NULL | TimeDelta: 0ms | Status: PENDING
2024-01-15 14:38:29.398 NTLM_CHALLENGE | 10.0.5.11:445 -> 192.168.1.82:49901 | SessionID: a5b6c7d8 | Challenge: 2d3e4f5a6b7c8d9e | Response: NULL | TimeDelta: 64ms | Status: PENDING
2024-01-15 14:38:29.512 NTLM_AUTHENTICATE | 192.168.1.82:49901 -> 10.0.5.11:445 | SessionID: a5b6c7d8 | Challenge: 2d3e4f5a6b7c8d9e | Response: 1c2d3e4f5a6b7c8d | TimeDelta: 114ms | Status: SUCCESS
2024-01-15 14:39:45.778 NTLM_NEGOTIATE | 192.168.1.100:49956 -> 192.168.1.50:445 | SessionID: b8c9d1e2 | Challenge: NULL | Response: NULL | TimeDelta: 0ms | Status: PENDING
2024-01-15 14:39:45.782 NTLM_NEGOTIATE | 192.168.1.50:49957 -> 10.0.5.25:445 | SessionID: b8c9d1e3 | Challenge: NULL | Response: NULL | TimeDelta: 0ms | Status: PENDING
2024-01-15 14:39:45.807 NTLM_CHALLENGE | 10.0.5.25:445 -> 192.168.1.50:49957 | SessionID: b8c9d1e3 | Challenge: 7e8f9a1b2c3d4e5f | Response: NULL | TimeDelta: 25ms | Status: PENDING
2024-01-15 14:39:45.810 NTLM_CHALLENGE | 192.168.1.50:445 -> 192.168.1.100:49956 | SessionID: b8c9d1e2 | Challenge: 7e8f9a1b2c3d4e5f | Response: NULL | TimeDelta: 3ms | Status: PENDING
2024-01-15 14:39:45.956 NTLM_AUTHENTICATE | 192.168.1.100:49956 -> 192.168.1.50:445 | SessionID: b8c9d1e2 | Challenge: 7e8f9a1b2c3d4e5f | Response: 6d7e8f9a1b2c3d4e | TimeDelta: 146ms | Status: PENDING
2024-01-15 14:39:45.961 NTLM_AUTHENTICATE | 192.168.1.50:49957 -> 10.0.5.25:445 | SessionID: b8c9d1e3 | Challenge: 7e8f9a1b2c3d4e5f | Response: 6d7e8f9a1b2c3d4e | TimeDelta: 5ms | Status: SUCCESS
2024-01-15 14:40:18.445 NTLM_NEGOTIATE | 192.168.1.97:50012 -> 10.0.5.19:445 | SessionID: c2d3e4f5 | Challenge: NULL | Response: NULL | TimeDelta: 0ms | Status: PENDING
2024-01-15 14:40:18.523 NTLM_CHALLENGE | 10.0.5.19:445 -> 192.168.1.97:50012 | SessionID: c2d3e4f5 | Challenge: 4f5a6b7c8d9e1f2a | Response: NULL | TimeDelta: 78ms | Status: PENDING
2024-01-15 14:40:18.645 NTLM_AUTHENTICATE | 192.168.1.97:50012 -> 10.0.5.19:445 | SessionID: c2d3e4f5 | Challenge: 4f5a6b7c8d9e1f2a | Response: 3e4f5a6b7c8d9e1f | TimeDelta: 122ms | Status: SUCCESS
2024-01-15 14:41:52.889 NTLM_NEGOTIATE | 192.168.1.109:50078 -> 10.0.5.13:445 | SessionID: d6e7f8a9 | Challenge: NULL | Response: NULL | TimeDelta: 0ms | Status: PENDING
2024-01-15 14:41:52.967 NTLM_CHALLENGE | 10.0.5.13:445 -> 192.168.1.109:50078 | SessionID: d6e7f8a9 | Challenge: 1a2b3c4d5e6f7a8b | Response: NULL | TimeDelta: 78ms | Status: PENDING
2024-01-15 14:41:53.089 NTLM_AUTHENTICATE | 192.168.1.109:50078 -> 10.0.5.13:445 | SessionID: d6e7f8a9 | Challenge: 1a2b3c4d5e6f7a8b | Response: 9c1d2e3f4a5b6c7d | TimeDelta: 122ms | Status: SUCCESS
2024-01-15 14:43:07.123 NTLM_NEGOTIATE | 192.168.1.100:50134 -> 192.168.1.50:445 | SessionID: e9f1a2b3 | Challenge: NULL | Response: NULL | TimeDelta: 0ms | Status: PENDING
2024-01-15 14:43:07.128 NTLM_NEGOTIATE | 192.168.1.50:50135 -> 10.0.5.25:445 | SessionID: e9f1a2b4 | Challenge: NULL | Response: NULL | TimeDelta: 0ms | Status: PENDING
2024-01-15 14:43:07.156 NTLM_CHALLENGE | 10.0.5.25:445 -> 192.168.1.50:50135 | SessionID: e9f1a2b4 | Challenge: 8c9d1e2f3a4b5c6d | Response: NULL | TimeDelta: 28ms | Status: PENDING
2024-01-15 14:43:07.160 NTLM_CHALLENGE | 192.168.1.50:445 -> 192.168.1.100:50134 | SessionID: e9f1a2b3 | Challenge: 8c9d1e2f3a4b5c6d | Response: NULL | TimeDelta: 4ms | Status: PENDING
2024-01-15 14:43:07.289 NTLM_AUTHENTICATE | 192.168.1.100:50134 -> 192.168.1.50:445 | SessionID: e9f1a2b3 | Challenge: 8c9d1e2f3a4b5c6d | Response: 7b8c9d1e2f3a4b5c | TimeDelta: 129ms | Status: PENDING
2024-01-15 14:43:07.293 NTLM_AUTHENTICATE | 192.168.1.50:50135 -> 10.0.5.25:445 | SessionID: e9f1a2b4 | Challenge: 8c9d1e2f3a4b5c6d | Response: 7b8c9d1e2f3a4b5c | TimeDelta: 4ms | Status: SUCCESS
2024-01-15 14:44:33.567 NTLM_NEGOTIATE | 192.168.1.91:50189 -> 10.0.5.21:445 | SessionID: f3a4b5c6 | Challenge: NULL | Response: NULL | TimeDelta: 0ms | Status: PENDING
2024-01-15 14:44:33.634 NTLM_CHALLENGE | 10.0.5.21:445 -> 192.168.1.91:50189 | SessionID: f3a4b5c6 | Challenge: 5d6e7f8a9b1c2d3e | Response: NULL | TimeDelta: 67ms | Status: PENDING
2024-01-15 14:44:33.778 NTLM_AUTHENTICATE | 192.168.1.91:50189 -> 10.0.5.21:445 | SessionID: f3a4b5c6 | Challenge: 5d6e7f8a9b1c2d3e | Response: 4c5d6e7f8a9b1c2d | TimeDelta: 144ms | Status: SUCCESS
2024-01-15 14:45:58.223 NTLM_NEGOTIATE | 192.168.1.107:50245 -> 10.0.5.17:445 | SessionID: a7b8c9d1 | Challenge: NULL | Response: NULL | TimeDelta: 0ms | Status: PENDING
2024-01-15 14:45:58.301 NTLM_CHALLENGE | 10.0.5.17:445 -> 192.168.1.107:50245 | SessionID: a7b8c9d1 | Challenge: 2e3f4a5b6c7d8e9f | Response: NULL | TimeDelta: 78ms | Status: PENDING
2024-01-15 14:45:58.423 NTLM_AUTHENTICATE | 192.168.1.107:50245 -> 10.0.5.17:445 | SessionID: a7b8c9d1 | Challenge: 2e3f4a5b6c7d8e9f | Response: 1d2e3f4a5b6c7d8e | TimeDelta: 122ms | Status: SUCCESS
2024-01-15 14:47:12.445 NTLM_NEGOTIATE | 192.168.1.100:50301 -> 192.168.1.50:445 | SessionID: b1c2d3e4 | Challenge: NULL | Response: NULL | TimeDelta: 0ms | Status: PENDING
2024-01-15 14:47:12.449 NTLM_NEGOTIATE | 192.168.1.50:50302 -> 10.0.5.25:445 | SessionID: b1c2d3e5 | Challenge: NULL | Response: NULL | TimeDelta: 0ms | Status: PENDING
2024-01-15 14:47:12.475 NTLM_CHALLENGE | 10.0.5.25:445 -> 192.168.1.50:50302 | SessionID: b1c2d3e5 | Challenge: 9f1a2b3c4d5e6f7a | Response: NULL | TimeDelta: 26ms | Status: PENDING
2024-01-15 14:47:12.479 NTLM_CHALLENGE | 192.168.1.50:445 -> 192.168.1.100:50301 | SessionID: b1c2d3e4 | Challenge: 9f1a2b3c4d5e6f7a | Response: NULL | TimeDelta: 4ms | Status: PENDING
2024-01-15 14:47:12.612 NTLM_AUTHENTICATE | 192.168.1.100:50301 -> 192.168.1.50:445 | SessionID: b1c2d3e4 | Challenge: 9f1a2b3c4d5e6f7a | Response: 8e9f1a2b3c4d5e6f | TimeDelta: 133ms | Status: PENDING
2024-01-15 14:47:12.617 NTLM_AUTHENTICATE | 192.168.1.50:50302 -> 10.0.5.25:445 | SessionID: b1c2d3e5 | Challenge: 9f1a2b3c4d5e6f7a | Response: 8e9f1a2b3c4d5e6f | TimeDelta: 5ms | Status: SUCCESS
2024-01-15 14:48:26.778 NTLM_NEGOTIATE | 192.168.1.84:50367 -> 10.0.5.9:445 | SessionID: c5d6e7f8 | Challenge: NULL | Response: NULL | TimeDelta: 0ms | Status: PENDING
2024-01-15 14:48:26.845 NTLM_CHALLENGE | 10.0.5.9:445 -> 192.168.1.84:50367 | SessionID: c5d6e7f8 | Challenge: 6a7b8c9d1e2f3a4b | Response: NULL | TimeDelta: 67ms | Status: PENDING
2024-01-15 14:48:26.989 NTLM_AUTHENTICATE | 192.168.1.84:50367 -> 10.0.5.9:445 | SessionID: c5d6e7f8 | Challenge: 6a7b8c9d1e2f3a4b | Response: 5f6a7b8c9d1e2f3a | TimeDelta: 144ms | Status: SUCCESS
2024-01-15 14:49:54.112 NTLM_NEGOTIATE | 192.168.1.118:50423 -> 10.0.5.23:445 | SessionID: d9e1f2a3 | Challenge: NULL | Response: NULL | TimeDelta: 0ms | Status: PENDING
2024-01-15 14:49:54.189 NTLM_CHALLENGE | 10.0.5.23:445 -> 192.168.1.118:50423 | SessionID: d9e1f2a3 | Challenge: 3b4c5d6e7f8a9b1c | Response: NULL | TimeDelta: 77ms | Status: PENDING
2024-01-15 14:49:54.301 NTLM_AUTHENTICATE | 192.168.1.118:50423 -> 10.0.5.23:445 | SessionID: d9e1f2a3 | Challenge: 3b4c5d6e7f8a9b1c | Response: 2a3b4c5d6e7f8a9b | TimeDelta: 112ms | Status: SUCCESS
2024-01-15 14:51:08.445 NTLM_NEGOTIATE | 192.168.1.93:50489 -> 10.0.5.24:445 | SessionID: e2f3a4b5 | Challenge: NULL | Response: NULL | TimeDelta: 0ms | Status: PENDING
2024-01-15 14:51:08.512 NTLM_CHALLENGE | 10.0.5.24:445 -> 192.168.1.93:50489 | SessionID: e2f3a4b5 | Challenge: 1c2d3e4f5a6b7c8d | Response: NULL | TimeDelta: 67ms | Status: PENDING
2024-01-15 14:51:08.656 NTLM_AUTHENTICATE | 192.168.1.93:50489 -> 10.0.5.24:445 | SessionID: e2f3a4b5 | Challenge: 1c2d3e4f5a6b7c8d | Response: 9d1e2f3a4b5c6d7e | TimeDelta: 144ms | Status: SUCCESS
2024-01-15 14:52:34.889 NTLM_NEGOTIATE | 192.168.1.101:50545 -> 10.0.5.12:445 | SessionID: f6a7b8c9 | Challenge: NULL | Response: NULL | TimeDelta: 0ms | Status: PENDING
2024-01-15 14:52:34.956 NTLM_CHALLENGE | 10.0.5.12:445 -> 192.168.1.101:50545 | SessionID: f6a7b8c9 | Challenge: 8d9e1f2a3b4c5d6e | Response: NULL | TimeDelta: 67ms | Status: PENDING
2024-01-15 14:52:35.112 NTLM_AUTHENTICATE | 192.168.1.101:50545 -> 10.0.5.12:445 | SessionID: f6a7b8c9 | Challenge: 8d9e1f2a3b4c5d6e | Response: 7c8d9e1f2a3b4c5d | TimeDelta: 156ms | Status: SUCCESS
2024-01-15 14:53:47.223 NTLM_NEGOTIATE | 192.168.1.112:50601 -> 10.0.5.15:445 | SessionID: a1b2c3d4 | Challenge: NULL | Response: NULL | TimeDelta: 0ms | Status: PENDING
2024-01-15 14:53:47.301 NTLM_CHALLENGE | 10.0.5.15:445 -> 192.168.1.112:50601 | SessionID: a1b2c3d4 | Challenge: 5e6f7a8b9c1d2e3f | Response: NULL | TimeDelta: 78ms | Status: PENDING
2024-01-15 14:53:47.445 NTLM_AUTHENTICATE | 192.168.1.112:50601 -> 10.0.5.15:445 | SessionID: a1b2c3d4 | Challenge: 5e6f7a8b9c1d2e3f | Response: 4d5e6f7a8b9c1d2e | TimeDelta: 144ms | Status: SUCCESS
2024-01-15 14:55:03.556 NTLM_NEGOTIATE | 192.168.1.98:50667 -> 10.0.5.18:445 | SessionID: b5c6d7e8 | Challenge: NULL | Response: NULL | TimeDelta: 0ms | Status: PENDING
2024-01-15 14:55:03.623 NTLM_CHALLENGE | 10.0.5.18:445 -> 192.168.1.98:50667 | SessionID: b5c6d7e8 | Challenge: 2f3a4b5c6d7e8f9a | Response: NULL | TimeDelta: 67ms | Status: PENDING
2024-01-15 14:55:03.778 NTLM_AUTHENTICATE | 192.168.1.98:50667 -> 10.0.5.18:445 | SessionID: b5c6d7e8 | Challenge: 2f3a4b5c6d7e8f9a | Response: 1e2f3a4b5c6d7e8f | TimeDelta: 155ms | Status: SUCCESS
2024-01-15 14:56:29.334 NTLM_NEGOTIATE | 192.168.1.86:50723 -> 10.0.5.20:445 | SessionID: c9d1e2f3 | Challenge: NULL | Response: NULL | TimeDelta: 0ms | Status: PENDING
2024-01-15 14:56:29.412 NTLM_CHALLENGE | 10.0.5.20:445 -> 192.168.1.86:50723 | SessionID: c9d1e2f3 | Challenge: 9b1c2d3e4f5a6b7c | Response: NULL | TimeDelta: 78ms | Status: PENDING
2024-01-15 14:56:29.556 NTLM_AUTHENTICATE | 192.168.1.86:50723 -> 10.0.5.20:445 | SessionID: c9d1e2f3 | Challenge: 9b1c2d3e4f5a6b7c | Response: 8a9b1c2d3e4f5a6b | TimeDelta: 144ms | Status: SUCCESS
2024-01-15 14:57:52.667 NTLM_NEGOTIATE | 192.168.1.104:50789 -> 10.0.5.11:445 | SessionID: d3e4f5a6 | Challenge: NULL | Response: NULL | TimeDelta: 0ms | Status: PENDING
2024-01-15 14:57:52.745 NTLM_CHALLENGE | 10.0.5.11:445 -> 192.168.1.104:50789 | SessionID: d3e4f5a6 | Challenge: 6c7d8e9f1a2b3c4d | Response: NULL | TimeDelta: 78ms | Status: PENDING
2024-01-15 14:57:52.889 NTLM_AUTHENTICATE | 192.168.1.104:50789 -> 10.0.5.11:445 | SessionID: d3e4f5a6 | Challenge: 6c7d8e9f1a2b3c4d | Response: 5b6c7d8e9f1a2b3c | TimeDelta: 144ms | Status: SUCCESS
2024-01-15 14:59:18.112 NTLM_NEGOTIATE | 192.168.1.96:50845 -> 10.0.5.14:445 | SessionID: e7f8a9b1 | Challenge: NULL | Response: NULL | TimeDelta: 0ms | Status: PENDING
2024-01-15 14:59:18.189 NTLM_CHALLENGE | 10.0.5.14:445 -> 192.168.1.96:50845 | SessionID: e7f8a9b1 | Challenge: 3d4e5f6a7b8c9d1e | Response: NULL | TimeDelta: 77ms | Status: PENDING
2024-01-15 14:59:18.334 NTLM_AUTHENTICATE | 192.168.1.96:50845 -> 10.0.5.14:445 | SessionID: e7f8a9b1 | Challenge: 3d4e5f6a7b8c9d1e | Response: 2c3d4e5f6a7b8c9d | TimeDelta: 145ms | Status: SUCCESS
2024-01-15 15:00:45.445 NTLM_NEGOTIATE | 192.168.1.114:50901 -> 10.0.5.22:445 | SessionID: f1a2b3c4 | Challenge: NULL | Response: NULL | TimeDelta: 0ms | Status: PENDING
2024-01-15 15:00:45.523 NTLM_CHALLENGE | 10.0.5.22:445 -> 192.168.1.114:50901 | SessionID: f1a2b3c4 | Challenge: 1e2f3a4b5c6d7e8f | Response: NULL | TimeDelta: 78ms | Status: PENDING
2024-01-15 15:00:45.656 NTLM_AUTHENTICATE | 192.168.1.114:50901 -> 10.0.5.22:445 | SessionID: f1a2b3c4 | Challenge: 1e2f3a4b5c6d7e8f | Response: 9f1a2b3c4d5e6f7a | TimeDelta: 133ms | Status: SUCCESS
2024-01-15 15:02:11.778 NTLM_NEGOTIATE | 192.168.1.89:50967 -> 10.0.5.16:445 | SessionID: a5b6c7d8 | Challenge: NULL | Response: NULL | TimeDelta: 0ms | Status: PENDING
2024-01-15 15:02:11.856 NTLM_CHALLENGE | 10.0.5.16:445 -> 192.168.1.89:50967 | SessionID: a5b6c7d8 | Challenge: 8f9a1b2c3d4e5f6a | Response: NULL | TimeDelta: 78ms | Status: PENDING
2024-01-15 15:02:11.989 NTLM_AUTHENTICATE | 192.168.1.89:50967 -> 10.0.5.16:445 | SessionID: a5b6c7d8 | Challenge: 8f9a1b2c3d4e5f6a | Response: 7e8f9a1b2c3d4e5f | TimeDelta: 133ms | Status: SUCCESS
