transaction_id,merchant_category,customer_segment,transaction_hour,day_of_week,card_type,is_fraud
185,fast_food,student,13,Wednesday,visa,0
186,electronics,vip,14,Wednesday,amex,0
187,grocery_store,standard,17,Wednesday,visa,0
188,auto_repair,bronze,11,Wednesday,mastercard,0
189,hardware_store,loyal,12,Wednesday,visa,0
190,toy_store,standard,16,Wednesday,visa,0
191,grocery_store,standard,9,Thursday,visa,0
192,gas_station,bronze,7,Thursday,mastercard,0
193,restaurant,gold,12,Thursday,visa,0
194,electronics,premium,14,Thursday,amex,0
195,pharmacy,silver,10,Thursday,visa,0
196,clothing,standard,18,Thursday,mastercard,0
197,grocery_store,loyal,8,Thursday,visa,0
198,coffee_shop,new,7,Thursday,visa,0
199,online_retail,student,21,Thursday,visa,0
200,gas_station,bronze,19,Thursday,mastercard,0
201,restaurant,gold,19,Thursday,amex,0
202,grocery_store,standard,11,Thursday,visa,0
203,department_store,premium,16,Thursday,visa,0
204,pharmacy,silver,9,Thursday,mastercard,0
205,fast_food,student,13,Thursday,visa,0
206,electronics,vip,15,Thursday,amex,1
207,grocery_store,standard,17,Thursday,visa,0
208,beauty_salon,gold,14,Thursday,visa,0
209,spa_services,vip,16,Thursday,amex,0
210,gym_membership,silver,6,Thursday,mastercard,0
211,grocery_store,standard,9,Friday,visa,0
212,gas_station,bronze,7,Friday,mastercard,0
213,restaurant,gold,13,Friday,visa,0
214,electronics,premium,15,Friday,amex,0
215,pharmacy,silver,10,Friday,visa,0
216,clothing,standard,18,Friday,mastercard,0
217,grocery_store,loyal,8,Friday,visa,0
218,coffee_shop,new,8,Friday,visa,0
219,online_retail,student,22,Friday,visa,0
220,gas_station,bronze,19,Friday,mastercard,0
221,restaurant,gold,20,Friday,amex,0
222,grocery_store,standard,11,Friday,visa,0
223,bar,gold,23,Friday,visa,0
224,nightclub,premium,23,Friday,amex,0
225,entertainment,standard,21,Friday,visa,0
226,movie_theater,student,19,Friday,visa,0
227,restaurant,vip,20,Friday,amex,0
228,fast_food,bronze,22,Friday,mastercard,0
229,convenience_store,standard,23,Friday,visa,0
230,taxi_service,gold,1,Friday,visa,0
231,grocery_store,standard,10,Saturday,visa,0
232,gas_station,bronze,9,Saturday,mastercard,0
233,restaurant,gold,13,Saturday,visa,0
234,electronics,premium,12,Saturday,amex,0
235,pharmacy,silver,11,Saturday,visa,0
236,clothing,standard,14,Saturday,mastercard,0
237,grocery_store,loyal,10,Saturday,visa,0
238,coffee_shop,new,9,Saturday,visa,0
239,online_retail,student,15,Saturday,visa,0
240,department_store,premium,13,Saturday,visa,0
241,restaurant,gold,19,Saturday,amex,0
242,grocery_store,standard,12,Saturday,visa,0
243,home_improvement,loyal,11,Saturday,mastercard,0
244,sporting_goods,bronze,14,Saturday,visa,0
245,toy_store,standard,15,Saturday,visa,0
246,electronics,vip,13,Saturday,amex,0
247,furniture_store,corporate,12,Saturday,visa,0
248,bar,gold,22,Saturday,visa,0
249,entertainment,standard,20,Saturday,visa,0
250,movie_theater,student,18,Saturday,visa,0
251,grocery_store,standard,10,Sunday,visa,0
252,gas_station,bronze,11,Sunday,mastercard,0
253,restaurant,gold,13,Sunday,visa,0
254,pharmacy,silver,12,Sunday,visa,0
255,coffee_shop,new,10,Sunday,visa,0
256,grocery_store,loyal,11,Sunday,visa,0
257,restaurant,premium,18,Sunday,amex,0
258,department_store,standard,14,Sunday,visa,0
259,entertainment,gold,16,Sunday,visa,0
260,movie_theater,student,17,Sunday,visa,0
261,grocery_store,standard,9,Monday,visa,0
262,gas_station,bronze,7,Monday,mastercard,0
263,restaurant,gold,12,Monday,visa,0
264,electronics,premium,14,Monday,amex,0
265,pharmacy,silver,10,Monday,visa,0
266,clothing,standard,15,Monday,mastercard,0
267,grocery_store,loyal,8,Monday,visa,0
268,coffee_shop,new,7,Monday,visa,0
269,online_retail,student,20,Monday,visa,0
270,gas_station,bronze,18,Monday,mastercard,0
271,restaurant,gold,19,Monday,amex,0
272,grocery_store,standard,11,Monday,visa,0
273,department_store,premium,16,Monday,visa,0
274,pharmacy,silver,9,Monday,mastercard,0
275,fast_food,student,13,Monday,visa,0
276,electronics,vip,14,Monday,amex,0
277,grocery_store,standard,17,Monday,visa,0
278,office_supplies,corporate,10,Monday,visa,0
279,print_shop,bronze,11,Monday,mastercard,0
280,telecom_services,standard,15,Monday,visa,0
281,grocery_store,standard,9,Tuesday,visa,0
282,gas_station,bronze,7,Tuesday,mastercard,0
283,restaurant,gold,12,Tuesday,visa,0
284,coffee_shop,new,8,Tuesday,visa,0
285,pharmacy,silver,10,Tuesday,visa,0
286,clothing,standard,17,Tuesday,mastercard,0
287,electronics,premium,15,Tuesday,amex,0
288,grocery_store,standard,9,Tuesday,visa,0
289,online_retail,student,21,Tuesday,visa,0
290,gas_station,bronze,18,Tuesday,mastercard,0
291,restaurant,gold,19,Tuesday,amex,0
292,department_store,premium,14,Tuesday,visa,0
293,fast_food,student,12,Tuesday,visa,0
294,pharmacy,silver,11,Tuesday,mastercard,0
295,home_improvement,loyal,10,Tuesday,visa,0
296,furniture_store,corporate,16,Tuesday,amex,0
297,grocery_store,standard,17,Tuesday,visa,0
298,bookstore,student,15,Tuesday,visa,0
299,pet_store,silver,13,Tuesday,mastercard,0
300,sporting_goods,bronze,14,Tuesday,visa,0
301,grocery_store,standard,9,Wednesday,visa,0
302,gas_station,bronze,7,Wednesday,mastercard,0
303,restaurant,gold,13,Wednesday,visa,0
304,electronics,premium,15,Wednesday,amex,0
305,pharmacy,silver,10,Wednesday,visa,0
306,clothing,standard,16,Wednesday,mastercard,0
307,grocery_store,loyal,8,Wednesday,visa,0
308,coffee_shop,new,8,Wednesday,visa,0
309,online_retail,student,22,Wednesday,visa,0
310,gas_station,bronze,18,Wednesday,mastercard,0
311,restaurant,gold,20,Wednesday,amex,0
312,grocery_store,standard,11,Wednesday,visa,0
313,department_store,premium,15,Wednesday,visa,0
314,pharmacy,silver,9,Wednesday,mastercard,0
315,fast_food,student,13,Wednesday,visa,0
316,electronics,vip,14,Wednesday,amex,1
317,grocery_store,standard,17,Wednesday,visa,0
318,auto_repair,bronze,11,Wednesday,mastercard,0
319,hardware_store,loyal,12,Wednesday,visa,0
320,toy_store,standard,16,Wednesday,visa,0
321,grocery_store,standard,9,Thursday,visa,0
322,gas_station,bronze,7,Thursday,mastercard,0
323,restaurant,gold,12,Thursday,visa,0
324,electronics,premium,14,Thursday,amex,0
325,pharmacy,silver,10,Thursday,visa,0
326,clothing,standard,18,Thursday,mastercard,0
327,grocery_store,loyal,8,Thursday,visa,0
328,coffee_shop,new,7,Thursday,visa,0
329,online_retail,student,21,Thursday,visa,0
330,gas_station,bronze,19,Thursday,mastercard,0
331,restaurant,gold,19,Thursday,amex,0
332,grocery_store,standard,11,Thursday,visa,0
333,department_store,premium,16,Thursday,visa,0
334,pharmacy,silver,9,Thursday,mastercard,0
335,fast_food,student,13,Thursday,visa,0
336,electronics,vip,15,Thursday,amex,0
337,grocery_store,standard,17,Thursday,visa,0
338,beauty_salon,gold,14,Thursday,visa,0
339,spa_services,vip,16,Thursday,amex,1
340,gym_membership,silver,6,Thursday,mastercard,0
341,grocery_store,standard,9,Friday,visa,0
342,gas_station,bronze,7,Friday,mastercard,0
343,restaurant,gold,13,Friday,visa,0
344,electronics,premium,15,Friday,amex,0
345,pharmacy,silver,10,Friday,visa,0
346,clothing,standard,18,Friday,mastercard,0
347,grocery_store,loyal,8,Friday,visa,0
348,coffee_shop,new,8,Friday,visa,0
349,online_retail,student,22,Friday,visa,0
350,gas_station,bronze,19,Friday,mastercard,0
351,restaurant,gold,20,Friday,amex,0
352,grocery_store,standard,11,Friday,visa,0
353,bar,gold,23,Friday,visa,0
354,nightclub,premium,23,Friday,amex,0
355,entertainment,standard,21,Friday,visa,0
356,movie_theater,student,19,Friday,visa,0
357,restaurant,vip,20,Friday,amex,0
358,fast_food,bronze,22,Friday,mastercard,0
359,convenience_store,standard,23,Friday,visa,0
360,taxi_service,gold,1,Friday,visa,0
361,grocery_store,standard,10,Saturday,visa,0
362,gas_station,bronze,9,Saturday,mastercard,0
363,restaurant,gold,13,Saturday,visa,0
364,electronics,premium,12,Saturday,amex,0
365,pharmacy,silver,11,Saturday,visa,0
366,clothing,standard,14,Saturday,mastercard,0
367,grocery_store,loyal,10,Saturday,visa,0
368,coffee_shop,new,9,Saturday,visa,0
369,online_retail,student,15,Saturday,visa,0
370,department_store,premium,13,Saturday,visa,0
371,restaurant,gold,19,Saturday,amex,0
372,grocery_store,standard,12,Saturday,visa,0
373,home_improvement,loyal,11,Saturday,mastercard,0
374,sporting_goods,bronze,14,Saturday,visa,0
375,toy_store,standard,15,Saturday,visa,0
376,electronics,vip,13,Saturday,amex,0
377,furniture_store,corporate,12,Saturday,visa,0
378,bar,gold,22,Saturday,visa,0
379,entertainment,standard,20,Saturday,visa,0
380,movie_theater,student,18,Saturday,visa,0
381,grocery_store,standard,10,Sunday,visa,0
382,gas_station,bronze,11,Sunday,mastercard,0
383,restaurant,gold,13,Sunday,visa,0
384,pharmacy,silver,12,Sunday,visa,0
385,coffee_shop,new,10,Sunday,visa,0
386,grocery_store,loyal,11,Sunday,visa,0
387,restaurant,premium,18,Sunday,amex,0
388,department_store,standard,14,Sunday,visa,0
389,entertainment,gold,16,Sunday,visa,0
390,movie_theater,student,17,Sunday,visa,0
391,insurance_services,corporate,10,Monday,visa,0
392,legal_services,premium,14,Monday,amex,0
393,accounting_services,corporate,11,Monday,visa,0
394,veterinary_clinic,silver,15,Monday,mastercard,0
395,car_rental,gold,9,Monday,visa,0
396,storage_facility,standard,13,Monday,visa,0
397,laundry_service,bronze,8,Monday,mastercard,0
398,locksmith,standard,16,Monday,visa,0
399,plumbing_service,loyal,12,Monday,visa,0
400,electrical_service,bronze,14,Monday,mastercard,0
401,grocery_store,standard,9,Monday,visa,0
402,gas_station,bronze,7,Monday,mastercard,0
403,restaurant,gold,12,Monday,visa,0
404,electronics,premium,14,Monday,amex,0
405,pharmacy,silver,10,Monday,visa,0
406,clothing,standard,15,Monday,mastercard,0
407,grocery_store,loyal,8,Monday,visa,0
408,coffee_shop,new,7,Monday,visa,0
409,online_retail,student,20,Monday,visa,0
410,gas_station,bronze,18,Monday,mastercard,0
411,restaurant,gold,19,Monday,amex,0
412,grocery_store,standard,11,Monday,visa,0
413,department_store,premium,16,Monday,visa,0
414,pharmacy,silver,9,Monday,mastercard,0
415,fast_food,student,13,Monday,visa,0
416,electronics,vip,14,Monday,amex,0
417,grocery_store,standard,17,Monday,visa,0
418,office_supplies,corporate,10,Monday,visa,0
419,catering_service,gold,12,Monday,amex,0
420,florist,silver,14,Monday,visa,0
421,grocery_store,standard,9,Tuesday,visa,0
422,gas_station,bronze,7,Tuesday,mastercard,0
423,restaurant,gold,12,Tuesday,visa,0
424,coffee_shop,new,8,Tuesday,visa,0
425,pharmacy,silver,10,Tuesday,visa,0
426,clothing,standard,17,Tuesday,mastercard,0
427,electronics,premium,15,Tuesday,amex,0
428,grocery_store,standard,9,Tuesday,visa,0
429,online_retail,student,21,Tuesday,visa,0
430,gas_station,bronze,18,Tuesday,mastercard,0
431,restaurant,gold,19,Tuesday,amex,0
432,department_store,premium,14,Tuesday,visa,0
433,fast_food,student,12,Tuesday,visa,0
434,pharmacy,silver,11,Tuesday,mastercard,0
435,home_improvement,loyal,10,Tuesday,visa,0
436,furniture_store,corporate,16,Tuesday,amex,0
437,grocery_store,standard,17,Tuesday,visa,0
438,bookstore,student,15,Tuesday,visa,0
439,pet_store,silver,13,Tuesday,mastercard,0
440,sporting_goods,bronze,14,Tuesday,visa,0
441,grocery_store,standard,9,Wednesday,visa,0
442,gas_station,bronze,7,Wednesday,mastercard,0
443,restaurant,gold,13,Wednesday,visa,0
444,electronics,premium,15,Wednesday,amex,0
445,pharmacy,silver,10,Wednesday,visa,0
446,clothing,standard,16,Wednesday,mastercard,0
447,grocery_store,loyal,8,Wednesday,visa,0
448,coffee_shop,new,8,Wednesday,visa,0
449,online_retail,student,22,Wednesday,visa,0
450,gas_station,bronze,18,Wednesday,mastercard,0
451,restaurant,gold,20,Wednesday,amex,0
452,grocery_store,standard,11,Wednesday,visa,0
453,department_store,premium,15,Wednesday,visa,0
454,pharmacy,silver,9,Wednesday,mastercard,0
455,fast_food,student,13,Wednesday,visa,0
456,electronics,vip,14,Wednesday,amex,0
457,grocery_store,standard,17,Wednesday,visa,0
458,auto_repair,bronze,11,Wednesday,mastercard,0
459,hardware_store,loyal,12,Wednesday,visa,0
460,toy_store,standard,16,Wednesday,visa,0
461,grocery_store,standard,9,Thursday,visa,0
462,gas_station,bronze,7,Thursday,mastercard,0
463,restaurant,gold,12,Thursday,visa,0
464,electronics,premium,14,Thursday,amex,0
465,pharmacy,silver,10,Thursday,visa,0
466,clothing,standard,18,Thursday,mastercard,0
467,grocery_store,loyal,8,Thursday,visa,0
468,coffee_shop,new,7,Thursday,visa,0
469,online_retail,student,21,Thursday,visa,0
470,gas_station,bronze,19,Thursday,mastercard,0
471,restaurant,gold,19,Thursday,amex,0
472,grocery_store,standard,11,Thursday,visa,0
473,department_store,premium,16,Thursday,visa,0
474,pharmacy,silver,9,Thursday,mastercard,0
475,fast_food,student,13,Thursday,visa,0
476,electronics,vip,15,Thursday,amex,0
477,grocery_store,standard,17,Thursday,visa,0
478,beauty_salon,gold,14,Thursday,visa,0
479,spa_services,vip,16,Thursday,amex,0
480,gym_membership,silver,6,Thursday,mastercard,0
481,grocery_store,standard,9,Friday,visa,0
482,gas_station,bronze,7,Friday,mastercard,0
483,restaurant,gold,13,Friday,visa,0
484,electronics,premium,15,Friday,amex,0
485,pharmacy,silver,10,Friday,visa,0
486,clothing,standard,18,Friday,mastercard,0
487,grocery_store,loyal,8,Friday,visa,0
488,coffee_shop,new,8,Friday,visa,0
489,online_retail,student,22,Friday,visa,1
490,gas_station,bronze,19,Friday,mastercard,0
491,restaurant,gold,20,Friday,amex,0
492,grocery_store,standard,11,Friday,visa,0
493,bar,gold,23,Friday,visa,0
494,nightclub,premium,23,Friday,amex,0
495,entertainment,standard,21,Friday,visa,0
496,movie_theater,student,19,Friday,visa,0
497,restaurant,vip,20,Friday,amex,0
498,fast_food,bronze,22,Friday,mastercard,0
499,convenience_store,standard,23,Friday,visa,0
500,taxi_service,gold,1,Friday,visa,0
501,grocery_store,standard,10,Saturday,visa,0
502,gas_station,bronze,9,Saturday,mastercard,0
503,restaurant,gold,13,Saturday,visa,0
504,electronics,premium,12,Saturday,amex,0
505,pharmacy,silver,11,Saturday,visa,0
506,clothing,standard,14,Saturday,mastercard,0
507,grocery_store,loyal,10,Saturday,visa,0
508,coffee_shop,new,9,Saturday,visa,0
509,online_retail,student,15,Saturday,visa,0
510,department_store,premium,13,Saturday,visa,0
511,restaurant,gold,19,Saturday,amex,0
512,grocery_store,standard,12,Saturday,visa,0
513,home_improvement,loyal,11,Saturday,mastercard,0
514,sporting_goods,bronze,14,Saturday,visa,0
515,toy_store,standard,15,Saturday,visa,0
516,electronics,vip,13,Saturday,amex,0
517,furniture_store,corporate,12,Saturday,visa,0
518,bar,gold,22,Saturday,visa,0
519,entertainment,standard,20,Saturday,visa,0
520,movie_theater,student,18,Saturday,visa,0
521,grocery_store,standard,10,Sunday,visa,0
522,gas_station,bronze,11,Sunday,mastercard,0
523,restaurant,gold,13,Sunday,visa,0
524,pharmacy,silver,12,Sunday,visa,0
525,coffee_shop,new,10,Sunday,visa,0
526,grocery_store,loyal,11,Sunday,visa,0
527,restaurant,premium,18,Sunday,amex,0
528,department_store,standard,14,Sunday,visa,0
529,entertainment,gold,16,Sunday,visa,0
530,movie_theater,student,17,Sunday,visa,0
531,massage_therapy,vip,15,Sunday,amex,0
532,chiropractor,silver,11,Sunday,visa,0
533,dentist,premium,10,Sunday,amex,0
534,optometrist,gold,14,Sunday,visa,0
535,medical_lab,standard,9,Sunday,mastercard,0
536,urgent_care,bronze,16,Sunday,visa,0
537,pharmacy,silver,13,Sunday,visa,0
538,grocery_store,standard,12,Sunday,visa,0
539,gas_station,bronze,15,Sunday,mastercard,0
540,restaurant,loyal,17,Sunday,visa,0
541,grocery_store,standard,9,Monday,visa,0
542,gas_station,bronze,7,Monday,mastercard,0
543,restaurant,gold,12,Monday,visa,0
544,electronics,premium,14,Monday,amex,0
545,pharmacy,silver,10,Monday,visa,0
546,clothing,standard,15,Monday,mastercard,0
547,grocery_store,loyal,8,Monday,visa,0
548,coffee_shop,new,7,Monday,visa,0
549,online_retail,student,20,Monday,visa,0
550,gas_station,bronze,18,Monday,mastercard,0
551,restaurant,gold,19,Monday,amex,0
552,grocery_store,standard,11,Monday,visa,0
553,department_store,premium,16,Monday,visa,0
554,pharmacy,silver,9,Monday,mastercard,0
555,fast_food,student,13,Monday,visa,0
556,electronics,vip,14,Monday,amex,0
557,grocery_store,standard,17,Monday,visa,0
558,office_supplies,corporate,10,Monday,visa,0
559,print_shop,bronze,11,Monday,mastercard,0
560,telecom_services,standard,15,Monday,visa,0
561,grocery_store,standard,9,Tuesday,visa,0
562,gas_station,bronze,7,Tuesday,mastercard,0
563,restaurant,gold,12,Tuesday,visa,0
564,coffee_shop,new,8,Tuesday,visa,0
565,pharmacy,silver,10,Tuesday,visa,0
566,clothing,standard,17,Tuesday,mastercard,0
567,electronics,premium,15,Tuesday,amex,0
568,grocery_store,standard,9,Tuesday,visa,0
569,online_retail,student,21,Tuesday,visa,0
570,gas_station,bronze,18,Tuesday,mastercard,0
571,restaurant,gold,19,Tuesday,amex,0
572,department_store,premium,14,Tuesday,visa,0
573,fast_food,student,12,Tuesday,visa,0
574,pharmacy,silver,11,Tuesday,mastercard,0
575,home_improvement,loyal,10,Tuesday,visa,0
576,furniture_store,corporate,16,Tuesday,amex,0
577,grocery_store,standard,17,Tuesday,visa,0
578,bookstore,student,15,Tuesday,visa,0
579,pet_store,silver,13,Tuesday,mastercard,0
580,sporting_goods,bronze,14,Tuesday,visa,0
581,grocery_store,standard,9,Wednesday,visa,0
582,gas_station,bronze,7,Wednesday,mastercard,0
583,restaurant,gold,13,Wednesday,visa,0
584,electronics,premium,15,Wednesday,amex,0
585,pharmacy,silver,10,Wednesday,visa,0
586,clothing,standard,16,Wednesday,mastercard,0
587,grocery_store,loyal,8,Wednesday,visa,0
588,coffee_shop,new,8,Wednesday,visa,0
589,online_retail,student,22,Wednesday,visa,0
590,gas_station,bronze,18,Wednesday,mastercard,0
591,restaurant,gold,20,Wednesday,amex,0
592,grocery_store,standard,11,Wednesday,visa,0
593,department_store,premium,15,Wednesday,visa,0
594,pharmacy,silver,9,Wednesday,mastercard,0
595,fast_food,student,13,Wednesday,visa,0
596,electronics,vip,14,Wednesday,amex,0
597,grocery_store,standard,17,Wednesday,visa,0
598,auto_repair,bronze,11,Wednesday,mastercard,0
599,hardware_store,loyal,12,Wednesday,visa,0
600,toy_store,standard,16,Wednesday,visa,0
601,grocery_store,standard,9,Thursday,visa,0
602,gas_station,bronze,7,Thursday,mastercard,0
603,restaurant,gold,12,Thursday,visa,0
604,electronics,premium,14,Thursday,amex,0
605,pharmacy,silver,10,Thursday,visa,0
606,clothing,standard,18,Thursday,mastercard,0
607,grocery_store,loyal,8,Thursday,visa,0
608,coffee_shop,new,7,Thursday,visa,0
609,online_retail,student,21,Thursday,visa,0
