epoch,loss,accuracy,precision,recall,f1_score,learning_rate,batch_size,timestamp
96,0.019,0.960,0.960,0.959,0.959,0.0001,128,2024-01-15 12:40:43
97,0.019,0.960,0.960,0.959,0.959,0.0001,128,2024-01-15 12:42:09
98,0.018,0.960,0.960,0.959,0.959,0.0001,128,2024-01-15 12:43:36
99,0.018,0.960,0.960,0.959,0.959,0.0001,128,2024-01-15 12:45:02
100,0.017,0.960,0.960,0.959,0.959,0.0001,128,2024-01-15 12:46:29
101,0.017,0.961,0.961,0.960,0.960,0.0001,128,2024-01-15 12:47:55
102,0.016,0.961,0.961,0.960,0.960,0.0001,128,2024-01-15 12:49:22
103,0.016,0.961,0.961,0.960,0.960,0.0001,128,2024-01-15 12:50:48
104,0.015,0.961,0.961,0.960,0.960,0.0001,128,2024-01-15 12:52:15
105,0.015,0.961,0.961,0.960,0.960,0.0001,128,2024-01-15 12:53:41
106,0.015,0.961,0.961,0.960,0.960,0.0001,128,2024-01-15 12:55:08
107,0.014,0.962,0.961,0.960,0.960,0.0001,128,2024-01-15 12:56:34
108,0.014,0.962,0.962,0.961,0.961,0.0001,128,2024-01-15 12:58:01
109,0.014,0.962,0.962,0.961,0.961,0.0001,128,2024-01-15 12:59:27
110,0.013,0.962,0.962,0.961,0.961,0.0001,128,2024-01-15 13:00:54
111,0.013,0.962,0.962,0.961,0.961,0.00005,128,2024-01-15 13:02:20
112,0.013,0.962,0.962,0.961,0.961,0.00005,128,2024-01-15 13:03:47
113,0.012,0.962,0.962,0.961,0.961,0.00005,128,2024-01-15 13:05:13
114,0.012,0.962,0.962,0.961,0.961,0.00005,128,2024-01-15 13:06:40
115,0.012,0.963,0.962,0.961,0.961,0.00005,128,2024-01-15 13:08:06
116,0.012,0.963,0.962,0.961,0.961,0.00005,128,2024-01-15 13:09:33
117,0.011,0.963,0.963,0.962,0.962,0.00005,128,2024-01-15 13:10:59
118,0.011,0.963,0.963,0.962,0.962,0.00005,128,2024-01-15 13:12:26
119,0.011,0.963,0.963,0.962,0.962,0.00005,128,2024-01-15 13:13:52
120,0.011,0.963,0.963,0.962,0.962,0.00005,128,2024-01-15 13:15:19
