subscription_tier,region,payment_method,account_type,tenure_months,monthly_charges,total_charges,churned
Basic,North,Cash,Personal,1,43.3,43.3,1
Premium,South,Credit Card,Family,44,121.4,5341.6,0
Standard,East,PayPal,Personal,24,77.7,1864.8,0
Basic,South,Cash,Student,4,34.8,139.2,1
Enterprise,West,Credit Card,Business,60,146.9,8814.0,0
Basic,Central,Cash,Personal,2,41.9,83.8,1
Standard,North,Bank Transfer,Personal,26,79.2,2059.2,0
Premium,East,Credit Card,Business,42,118.5,4977.0,0
Basic,West,Cash,Personal,5,37.5,187.5,1
Enterprise,North,Credit Card,Business,61,147.8,9015.8,0
Standard,South,PayPal,Family,23,80.8,1858.4,0
Basic,Central,Cash,Student,3,35.5,106.5,1
Premium,West,Credit Card,Family,46,124.8,5740.8,0
Basic,East,Cash,Personal,6,40.0,240.0,1
Standard,Central,Bank Transfer,Personal,20,72.6,1452.0,0
Enterprise,South,Credit Card,Business,64,148.8,9523.2,0
Basic,North,Cash,Personal,1,44.8,44.8,1
Premium,Central,Credit Card,Business,47,123.9,5823.3,0
Standard,West,PayPal,Personal,29,83.1,2409.9,0
Basic,South,Cash,Student,4,36.9,147.6,1
Enterprise,East,Credit Card,Business,57,144.1,8213.7,0
Basic,Central,Cash,Personal,5,39.0,195.0,1
Standard,North,Bank Transfer,Family,25,78.4,1960.0,0
Premium,South,Credit Card,Family,43,120.0,5160.0,0
Basic,West,Cash,Personal,2,42.2,84.4,1
Enterprise,Central,Credit Card,Business,58,145.5,8439.0,0
Standard,East,PayPal,Personal,22,75.3,1656.6,0
Basic,North,Cash,Student,3,37.8,113.4,1
Premium,West,Credit Card,Business,49,124.0,6076.0,0
Basic,South,Cash,Personal,6,41.0,246.0,1
Standard,Central,Bank Transfer,Personal,24,76.5,1836.0,0
Enterprise,North,Credit Card,Business,62,146.6,9089.2,0
Basic,East,Cash,Personal,1,43.7,43.7,1
Premium,East,Credit Card,Family,38,119.8,4552.4,0
Standard,South,PayPal,Personal,27,81.9,2211.3,0
Basic,West,Cash,Student,4,34.2,136.8,1
Enterprise,South,Credit Card,Business,59,143.4,8460.6,0
Basic,Central,Cash,Personal,5,40.1,200.5,1
Standard,East,Bank Transfer,Family,26,80.0,2080.0,0
Premium,North,Credit Card,Business,44,122.2,5376.8,0
Basic,South,Cash,Personal,2,39.5,79.0,1
Enterprise,West,Credit Card,Business,63,147.9,9317.7,0
Standard,Central,PayPal,Personal,21,74.1,1556.1,0
Basic,North,Cash,Student,3,36.3,108.9,1
Premium,Central,Credit Card,Family,45,123.4,5553.0,0
Basic,East,Cash,Personal,6,38.6,231.6,1
Standard,West,Bank Transfer,Personal,23,77.0,1771.0,0
Enterprise,East,Credit Card,Business,56,144.5,8092.0,0
Basic,South,Cash,Personal,1,44.5,44.5,1
Premium,North,Credit Card,Business,48,125.9,6043.2,0
Standard,South,PayPal,Family,28,82.3,2304.4,0
Basic,Central,Cash,Student,4,35.8,143.2,1
Enterprise,Central,Credit Card,Business,60,146.3,8778.0,0
Basic,West,Cash,Personal,2,41.5,83.0,1
Standard,North,Bank Transfer,Personal,25,78.9,1972.5,0
Premium,East,Credit Card,Family,42,117.6,4939.2,0
Basic,South,Cash,Personal,5,37.1,185.5,1
Enterprise,South,Credit Card,Business,61,148.1,9034.1,0
Standard,West,PayPal,Personal,24,76.2,1828.8,0
Basic,East,Cash,Student,3,36.6,109.8,1
Premium,West,Credit Card,Business,46,124.3,5717.8,0
Basic,North,Cash,Personal,6,39.7,238.2,1
Standard,Central,Bank Transfer,Family,27,81.3,2195.1,0
Enterprise,North,Credit Card,Business,57,145.0,8265.0,0
Basic,South,Cash,Personal,1,43.1,43.1,1
Premium,Central,Credit Card,Family,39,118.2,4609.8,0
Standard,East,PayPal,Personal,22,74.7,1643.4,0
Basic,West,Cash,Student,4,34.6,138.4,1
Enterprise,East,Credit Card,Business,58,143.7,8334.6,0
Basic,Central,Cash,Personal,5,40.5,202.5,1
Standard,South,Bank Transfer,Personal,26,79.6,2069.6,0
Premium,South,Credit Card,Business,43,120.9,5198.7,0
Basic,North,Cash,Personal,2,38.9,77.8,1
Enterprise,West,Credit Card,Business,62,147.0,9114.0,0
Standard,Central,PayPal,Family,23,80.2,1844.6,0
Basic,East,Cash,Student,3,37.4,112.2,1
Premium,North,Credit Card,Family,47,123.6,5809.2,0
Basic,South,Cash,Personal,6,41.2,247.2,1
Standard,West,Bank Transfer,Personal,20,72.9,1458.0,0
Enterprise,Central,Credit Card,Business,59,144.8,8543.2,0
Basic,East,Cash,Personal,1,44.0,44.0,1
Premium,East,Credit Card,Business,45,122.0,5490.0,0
Standard,North,PayPal,Personal,28,82.6,2312.8,0
Basic,Central,Cash,Student,4,35.0,140.0,1
Enterprise,South,Credit Card,Business,63,148.3,9342.9,0
Basic,West,Cash,Personal,5,39.3,196.5,1
Standard,South,Bank Transfer,Family,25,77.8,1945.0,0
Premium,Central,Credit Card,Family,41,119.3,4891.3,0
Basic,North,Cash,Personal,2,42.3,84.6,1
Enterprise,East,Credit Card,Business,60,146.1,8766.0,0
Standard,West,PayPal,Personal,24,75.9,1821.6,0
Basic,South,Cash,Student,3,36.1,108.3,1
Premium,West,Credit Card,Business,48,125.7,6033.6,0
Basic,Central,Cash,Personal,6,40.9,245.4,1
Standard,East,Bank Transfer,Personal,19,71.1,1350.9,0
Enterprise,North,Credit Card,Business,56,145.6,8153.6,0
Basic,West,Cash,Personal,1,43.5,43.5,1
Premium,South,Credit Card,Family,44,121.7,5354.8,0
Standard,Central,PayPal,Personal,27,81.0,2187.0,0
Basic,East,Cash,Student,4,34.4,137.6,1
Enterprise,Central,Credit Card,Business,61,147.5,8997.5,0
Basic,North,Cash,Personal,5,38.0,190.0,1
Standard,South,Bank Transfer,Family,26,80.5,2093.0,0
Premium,East,Credit Card,Business,42,118.8,4989.6,0
Basic,West,Cash,Personal,2,41.6,83.2,1
Enterprise,West,Credit Card,Business,58,143.5,8323.0,0
Standard,North,PayPal,Personal,23,76.6,1761.8,0
Basic,Central,Cash,Student,3,37.0,111.0,1
Premium,North,Credit Card,Family,46,124.1,5708.6,0
Basic,South,Cash,Personal,6,39.1,234.6,1
Standard,East,Bank Transfer,Personal,21,73.3,1539.3,0
Enterprise,South,Credit Card,Business,62,147.2,9126.4,0
Basic,East,Cash,Personal,1,44.3,44.3,1
Premium,Central,Credit Card,Business,47,123.2,5790.4,0
Standard,West,PayPal,Family,28,82.9,2321.2,0
Basic,North,Cash,Student,4,35.6,142.4,1
Enterprise,East,Credit Card,Business,59,144.0,8496.0,0
Basic,South,Cash,Personal,5,40.7,203.5,1
Standard,Central,Bank Transfer,Personal,25,78.7,1967.5,0
Premium,West,Credit Card,Family,43,120.4,5177.2,0
Basic,East,Cash,Personal,2,38.4,76.8,1
Enterprise,North,Credit Card,Business,63,148.6,9361.8,0
Standard,South,PayPal,Personal,22,75.5,1661.0,0
Basic,West,Cash,Student,3,36.8,110.4,1
Premium,South,Credit Card,Business,48,125.4,6019.2,0
Basic,Central,Cash,Personal,6,41.8,250.8,1
Standard,North,Bank Transfer,Family,24,77.2,1852.8,0
Enterprise,Central,Credit Card,Business,56,145.9,8170.4,0
Basic,South,Cash,Personal,1,43.8,43.8,1
Premium,East,Credit Card,Family,39,119.5,4660.5,0
Standard,West,PayPal,Personal,27,81.6,2203.2,0
Basic,North,Cash,Student,4,34.1,136.4,1
Enterprise,West,Credit Card,Business,60,146.4,8784.0,0
Basic,Central,Cash,Personal,5,39.6,198.0,1
Standard,South,Bank Transfer,Personal,26,79.8,2074.8,0
Premium,North,Credit Card,Business,44,122.5,5390.0,0
Basic,East,Cash,Personal,2,37.7,75.4,1
Enterprise,South,Credit Card,Business,61,147.7,9009.7,0
Standard,Central,PayPal,Family,23,80.6,1853.8,0
Basic,West,Cash,Student,3,35.4,106.2,1
Premium,Central,Credit Card,Family,45,123.7,5566.5,0
Basic,North,Cash,Personal,6,40.3,241.8,1
Standard,East,Bank Transfer,Personal,20,72.4,1448.0,0
Enterprise,East,Credit Card,Business,57,144.2,8219.4,0
Basic,South,Cash,Personal,1,44.6,44.6,1
Premium,West,Credit Card,Business,48,126.0,6048.0,0
Standard,South,PayPal,Personal,28,82.0,2296.0,0
Basic,Central,Cash,Student,4,36.4,145.6,1
Enterprise,North,Credit Card,Business,62,146.7,9095.4,0
Basic,East,Cash,Personal,5,38.2,191.0,1
Standard,West,Bank Transfer,Family,25,78.1,1952.5,0
Premium,South,Credit Card,Family,42,117.9,4951.8,0
Basic,North,Cash,Personal,2,41.4,82.8,1
Enterprise,Central,Credit Card,Business,58,143.8,8340.4,0
Standard,East,PayPal,Personal,24,76.0,1824.0,0
Basic,West,Cash,Student,3,37.7,113.1,1
Premium,East,Credit Card,Business,46,124.6,5731.6,0
Basic,South,Cash,Personal,6,39.9,239.4,1
Standard,Central,Bank Transfer,Personal,19,71.5,1358.5,0
Enterprise,West,Credit Card,Business,59,144.3,8513.7,0
Basic,Central,Cash,Personal,1,43.4,43.4,1
Premium,North,Credit Card,Family,47,123.3,5795.1,0
Standard,South,PayPal,Personal,27,81.8,2208.6,0
Basic,East,Cash,Student,4,34.9,139.6,1
Enterprise,South,Credit Card,Business,63,148.4,9349.2,0
Basic,West,Cash,Personal,5,40.6,203.0,1
Standard,North,Bank Transfer,Family,26,80.9,2103.4,0
Premium,Central,Credit Card,Business,43,120.7,5190.1,0
Basic,South,Cash,Personal,2,38.8,77.6,1
Enterprise,East,Credit Card,Business,60,146.2,8772.0,0
Standard,West,PayPal,Personal,23,76.3,1754.9,0
Basic,North,Cash,Student,3,36.2,108.6,1
Premium,West,Credit Card,Family,48,125.8,6038.4,0
Basic,Central,Cash,Personal,6,41.1,246.6,1
Standard,East,Bank Transfer,Personal,21,73.6,1545.6,0
Enterprise,Central,Credit Card,Business,56,145.4,8142.4,0
Basic,South,Cash,Personal,1,44.2,44.2,1
Premium,South,Credit Card,Business,45,122.3,5503.5,0
Standard,Central,PayPal,Family,28,82.7,2315.6,0
Basic,East,Cash,Student,4,35.2,140.8,1
Enterprise,North,Credit Card,Business,61,147.6,9003.6,0
Basic,West,Cash,Personal,5,39.4,197.0,1
Standard,South,Bank Transfer,Personal,25,78.5,1962.5,0
Premium,East,Credit Card,Family,41,119.1,4883.1,0
Basic,North,Cash,Personal,2,42.5,85.0,1
Enterprise,West,Credit Card,Business,58,143.3,8311.4,0
Standard,Central,PayPal,Personal,24,75.8,1819.2,0
Basic,South,Cash,Student,3,36.5,109.5,1
Premium,Central,Credit Card,Business,46,124.4,5722.4,0
Basic,East,Cash,Personal,6,40.8,244.8,1
Standard,West,Bank Transfer,Family,27,81.4,2197.8,0
Enterprise,South,Credit Card,Business,57,145.2,8276.4,0
Basic,Central,Cash,Personal,1,43.0,43.0,1
Premium,North,Credit Card,Family,44,121.5,5346.0,0
Standard,East,PayPal,Personal,22,74.8,1645.6,0
Basic,West,Cash,Student,4,34.7,138.8,1
Enterprise,East,Credit Card,Business,62,147.4,9138.8,0
Basic,North,Cash,Personal,5,38.5,192.5,1
Standard,South,Bank Transfer,Personal,26,79.4,2064.4,0
Premium,West,Credit Card,Business,42,118.4,4972.8,0
Basic,Central,Cash,Personal,2,41.3,82.6,1
Enterprise,Central,Credit Card,Business,59,144.6,8531.4,0
Standard,North,PayPal,Family,23,80.3,1846.9,0
Basic,South,Cash,Student,3,37.3,111.9,1
Premium,South,Credit Card,Family,47,123.5,5804.5,0
Basic,East,Cash,Personal,6,39.0,234.0,1
Standard,Central,Bank Transfer,Personal,20,72.7,1454.0,0
Enterprise,North,Credit Card,Business,60,146.5,8790.0,0
Basic,West,Cash,Personal,1,44.9,44.9,1
Premium,East,Credit Card,Business,45,122.1,5494.5,0
Standard,South,PayPal,Personal,28,82.2,2301.6,0
Basic,North,Cash,Student,4,35.9,143.6,1
Enterprise,West,Credit Card,Business,63,148.7,9368.1,0
Basic,South,Cash,Personal,5,40.0,200.0,1
Standard,East,Bank Transfer,Family,25,77.9,1947.5,0
Premium,Central,Credit Card,Family,43,120.2,5168.6,0
Basic,West,Cash,Personal,2,42.1,84.2,1
Enterprise,South,Credit Card,Business,61,147.9,9021.9,0
Standard,West,PayPal,Personal,24,76.1,1826.4,0
Basic,Central,Cash,Student,3,36.0,108.0,1
Premium,North,Credit Card,Business,48,125.5,6024.0,0
Basic,East,Cash,Personal,6,41.7,250.2,1
Standard,South,Bank Transfer,Personal,19,71.3,1354.7,0
Enterprise,Central,Credit Card,Business,56,145.7,8159.2,0
Basic,North,Cash,Personal,1,43.2,43.2,1
Premium,West,Credit Card,Family,44,121.8,5359.2,0
Standard,Central,PayPal,Personal,27,81.1,2189.7,0
Basic,South,Cash,Student,4,34.3,137.2,1
Enterprise,East,Credit Card,Business,58,143.6,8328.8,0
Basic,West,Cash,Personal,5,39.8,199.0,1
Standard,North,Bank Transfer,Family,26,80.2,2085.2,0
Premium,South,Credit Card,Business,42,118.7,4985.4,0
Basic,Central,Cash,Personal,2,38.1,76.2,1
Enterprise,North,Credit Card,Business,62,147.1,9120.2,0
Standard,East,PayPal,Personal,23,76.7,1764.1,0
Basic,East,Cash,Student,3,37.9,113.7,1
Premium,Central,Credit Card,Family,46,124.0,5704.0,0
Basic,South,Cash,Personal,6,40.5,243.0,1
Standard,West,Bank Transfer,Personal,21,73.0,1533.0,0
Enterprise,West,Credit Card,Business,59,144.4,8519.6,0
Basic,North,Cash,Personal,1,44.4,44.4,1
Premium,East,Credit Card,Business,47,123.0,5781.0,0
Standard,South,PayPal,Family,28,82.4,2307.2,0
Basic,Central,Cash,Student,4,35.7,142.8,1
Enterprise,South,Credit Card,Business,60,146.8,8808.0,0
Basic,West,Cash,Personal,5,39.2,196.0,1
Standard,Central,Bank Transfer,Personal,25,78.3,1957.5,0
Premium,North,Credit Card,Family,43,120.5,5181.5,0
Basic,East,Cash,Personal,2,42.7,85.4,1
Enterprise,East,Credit Card,Business,61,148.2,9040.2,0
Standard,West,PayPal,Personal,24,75.6,1814.4,0
Basic,South,Cash,Student,3,36.9,110.7,1
Premium,West,Credit Card,Business,48,126.2,6057.6,0
Basic,North,Cash,Personal,6,41.9,251.4,1
Standard,South,Bank Transfer,Family,27,81.7,2205.9,0
Enterprise,Central,Credit Card,Business,56,145.1,8125.6,0
Basic,Central,Cash,Personal,1,43.6,43.6,1
Premium,Central,Credit Card,Family,39,119.6,4664.4,0
Standard,East,PayPal,Personal,22,74.4,1636.8,0
Basic,West,Cash,Student,4,34.0,136.0,1
Enterprise,North,Credit Card,Business,57,144.9,8259.3,0
Basic,South,Cash,Personal,5,40.4,202.0,1
Standard,North,Bank Transfer,Personal,26,79.1,2056.6,0
Premium,East,Credit Card,Business,44,122.6,5394.4,0
Basic,East,Cash,Personal,2,37.6,75.2,1
Enterprise,West,Credit Card,Business,62,147.8,9163.6,0
Standard,Central,PayPal,Family,23,80.0,1840.0,0
Basic,North,Cash,Student,3,35.1,105.3,1
Premium,South,Credit Card,Family,45,123.9,5575.5,0
Basic,West,Cash,Personal,6,39.5,237.0,1
Standard,South,Bank Transfer,Personal,20,72.2,1444.0,0
Enterprise,East,Credit Card,Business,58,143.1,8299.8,0
Basic,Central,Cash,Personal,1,44.7,44.7,1
Premium,North,Credit Card,Business,48,125.1,6004.8,0
Standard,West,PayPal,Personal,28,82.8,2318.4,0
Basic,South,Cash,Student,4,36.7,146.8,1
Enterprise,Central,Credit Card,Business,59,144.5,8525.5,0
Basic,East,Cash,Personal,5,38.9,194.5,1
Standard,Central,Bank Transfer,Family,25,77.5,1937.5,0
Premium,West,Credit Card,Family,42,117.4,4930.8,0
Basic,North,Cash,Personal,2,41.0,82.0,1
Enterprise,South,Credit Card,Business,63,148.9,9380.7,0
Standard,East,PayPal,Personal,24,76.9,1845.6,0
Basic,West,Cash,Student,3,37.5,112.5,1
Premium,East,Credit Card,Business,46,124.9,5745.4,0
Basic,South,Cash,Personal,6,40.2,241.2,1
Standard,North,Bank Transfer,Personal,19,71.7,1362.3,0
Enterprise,North,Credit Card,Business,60,146.0,8760.0,0
Basic,Central,Cash,Personal,1,43.9,43.9,1
Premium,Central,Credit Card,Family,47,123.8,5818.6,0
Standard,South,PayPal,Personal,27,81.3,2195.1,0
Basic,East,Cash,Student,4,34.6,138.4,1
Enterprise,West,Credit Card,Business,61,147.3,8985.3,0
Basic,West,Cash,Personal,5,39.7,198.5,1
Standard,Central,Bank Transfer,Personal,26,80.6,2095.6,0
Premium,South,Credit Card,Business,43,120.8,5194.4,0
Basic,North,Cash,Personal,2,38.3,76.6,1
Enterprise,East,Credit Card,Business,58,143.0,8294.0,0
Standard,West,PayPal,Family,23,80.1,1842.3,0
Basic,South,Cash,Student,3,36.3,108.9,1
Premium,North,Credit Card,Family,48,126.3,6062.4,0
Basic,Central,Cash,Personal,6,41.4,248.4,1
Standard,East,Bank Transfer,Personal,21,73.7,1547.7,0
Enterprise,Central,Credit Card,Business,56,145.8,8164.8,0
Basic,West,Cash,Personal,1,44.1,44.1,1
Premium,West,Credit Card,Business,45,122.4,5508.0,0
Standard,South,PayPal,Personal,28,82.5,2310.0,0
Basic,North,Cash,Student,4,35.5,142.0,1
Enterprise,South,Credit Card,Business,62,148.0,9176.0,0
Basic,East,Cash,Personal,5,40.1,200.5,1
Standard,North,Bank Transfer,Family,25,78.8,1970.0,0
Premium,Central,Credit Card,Family,41,119.4,4895.4,0
Basic,South,Cash,Personal,2,42.9,85.8,1
Enterprise,North,Credit Card,Business,59,144.1,8501.9,0
Standard,Central,PayPal,Personal,24,75.4,1809.6,0
Basic,West,Cash,Student,3,36.1,108.3,1
Premium,East,Credit Card,Business,46,124.2,5713.2,0
Basic,Central,Cash,Personal,6,40.9,245.4,1
Standard,West,Bank Transfer,Personal,27,81.9,2211.3,0
Enterprise,East,Credit Card,Business,57,145.5,8293.5,0
Basic,South,Cash,Personal,1,43.5,43.5,1
Premium,South,Credit Card,Family,44,121.2,5332.8,0
Standard,East,PayPal,Personal,22,74.5,1639.0,0
Basic,North,Cash,Student,4,34.8,139.2,1
Enterprise,West,Credit Card,Business,60,146.6,8796.0,0
Basic,Central,Cash,Personal,5,39.1,195.5,1
Standard,South,Bank Transfer,Personal,26,79.7,2072.2,0
Premium,North,Credit Card,Business,42,118.0,4956.0,0
Basic,East,Cash,Personal,2,41.8,83.6,1
Enterprise,Central,Credit Card,Business,61,147.7,9009.7,0
Standard,West,PayPal,Family,23,80.4,1849.2,0
Basic,West,Cash,Student,3,37.1,111.3,1
Premium,West,Credit Card,Family,47,123.1,5785.7,0
Basic,South,Cash,Personal,6,39.6,237.6,1
Standard,Central,Bank Transfer,Personal,20,72.5,1450.0,0
Enterprise,South,Credit Card,Business,58,143.2,8305.6,0
Basic,North,Cash,Personal,1,44.0,44.0,1
Premium,East,Credit Card,Business,48,125.2,6009.6,0
Standard,South,PayPal,Personal,28,82.1,2298.8,0
Basic,Central,Cash,Student,4,35.3,141.2,1
Enterprise,East,Credit Card,Business,62,148.3,9194.6,0
Basic,West,Cash,Personal,5,40.3,201.5,1
Standard,North,Bank Transfer,Family,25,77.6,1940.0,0
Premium,Central,Credit Card,Family,43,120.1,5164.3,0
Basic,South,Cash,Personal,2,38.7,77.4,1
Enterprise,North,Credit Card,Business,59,144.7,8537.3,0
Standard,East,PayPal,Personal,24,76.8,1843.2,0
Basic,East,Cash,Student,3,36.4,109.2,1
Premium,South,Credit Card,Business,46,124.7,5736.2,0
Basic,North,Cash,Personal,6,41.6,249.6,1
Standard,West,Bank Transfer,Personal,19,71.0,1349.0,0
Enterprise,West,Credit Card,Business,56,145.3,8136.8,0
Basic,Central,Cash,Personal,1,43.1,43.1,1
Premium,North,Credit Card,Family,44,121.9,5363.6,0
Standard,Central,PayPal,Personal,27,81.5,2200.5,0
Basic,South,Cash,Student,4,34.5,138.0,1
Enterprise,Central,Credit Card,Business,60,146.9,8814.0,0
