filepath,size_bytes,created_time,modified_time,accessed_time
/tmp/.hidden_payload.sh,16384,2024-01-15 14:32:18,2024-01-15 14:32:18,2024-01-15 14:35:00
/usr/local/bin/python3,8388608,2024-01-02 14:00:00,2024-01-02 14:00:00,2024-01-15 13:00:00
/etc/hosts,2048,2024-01-01 10:00:00,2024-01-06 11:00:00,2024-01-15 07:00:00
/home/user/projects/code.cpp,20480,2024-01-11 10:30:00,2024-01-14 15:20:00,2024-01-14 17:00:00
/var/tmp/.reverse.pl,11264,2024-01-15 15:38:50,2024-01-15 15:38:50,2024-01-15 15:40:00
/dev/shm/exploit_kit.py,55296,2024-01-15 14:12:05,2024-01-15 14:12:05,2024-01-15 14:15:00
/tmp/backdoor_tool.php,19456,2024-01-15 16:28:14,2024-01-15 16:28:14,2024-01-15 16:30:00
/home/admin/.bashrc,5120,2024-01-01 10:00:00,2024-01-07 09:00:00,2024-01-15 08:30:00
/usr/share/doc/readme.txt,7168,2024-01-04 13:00:00,2024-01-04 13:00:00,2024-01-14 10:00:00
/var/www/html/index.html,12288,2024-01-08 11:00:00,2024-01-12 14:30:00,2024-01-15 16:00:00
/tmp/shell_script.sh,10240,2024-01-15 15:50:22,2024-01-15 15:50:22,2024-01-15 15:52:00
/home/user/music/song.mp3,3145728,2024-01-09 19:00:00,2024-01-09 19:00:00,2024-01-13 21:00:00
/etc/fstab,1536,2024-01-01 10:00:00,2024-01-01 10:00:00,2024-01-15 06:00:00
/var/tmp/payload_exec.py,38912,2024-01-15 14:08:45,2024-01-15 14:08:45,2024-01-15 14:10:00
/usr/lib/systemd/systemd,524288,2024-01-02 08:00:00,2024-01-02 08:00:00,2024-01-15 06:30:00
/home/user/videos/clip.mp4,10485760,2024-01-10 18:00:00,2024-01-10 18:00:00,2024-01-13 20:00:00
/dev/shm/.secret.sh,7680,2024-01-15 16:18:33,2024-01-15 16:18:33,2024-01-15 16:20:00
/tmp/reverse_connect.pl,15872,2024-01-15 15:05:11,2024-01-15 15:05:11,2024-01-15 15:08:00
/opt/application/config.ini,4608,2024-01-05 10:00:00,2024-01-11 13:00:00,2024-01-14 09:00:00
/var/log/auth.log,81920,2024-01-01 00:00:00,2024-01-16 09:00:00,2024-01-16 09:00:00
/home/user/.profile,3584,2024-01-01 10:00:00,2024-01-01 10:00:00,2024-01-15 08:00:00
/usr/bin/vim,2097152,2024-01-03 09:00:00,2024-01-03 09:00:00,2024-01-14 16:00:00
/etc/sudoers,2560,2024-01-01 10:00:00,2024-01-06 15:00:00,2024-01-15 07:30:00
/tmp/exploit_module.py,29696,2024-01-15 14:52:38,2024-01-15 14:52:38,2024-01-15 14:55:00
/var/tmp/.shell.sh,12800,2024-01-15 16:22:56,2024-01-15 16:22:56,2024-01-15 16:25:00
/home/user/documents/report.docx,32768,2024-01-14 11:00:00,2024-01-14 15:00:00,2024-01-14 17:00:00
/usr/sbin/sshd,786432,2024-01-02 10:00:00,2024-01-02 10:00:00,2024-01-15 12:30:00
/dev/shm/backdoor_client.php,22528,2024-01-15 15:33:19,2024-01-15 15:33:19,2024-01-15 15:35:00
/tmp/.hidden_exe.sh,9728,2024-01-15 16:08:42,2024-01-15 16:08:42,2024-01-15 16:10:00
/var/cache/apt/archives/package.deb,1572864,2024-01-07 14:00:00,2024-01-07 14:00:00,2024-01-13 10:00:00
/home/user/workspace/project.txt,11264,2024-01-13 09:00:00,2024-01-14 12:00:00,2024-01-14 18:00:00
/etc/group,2304,2024-01-01 10:00:00,2024-01-08 10:00:00,2024-01-15 07:00:00
/usr/local/share/fonts/font.ttf,262144,2024-01-04 11:00:00,2024-01-04 11:00:00,2024-01-12 14:00:00
/var/tmp/reverse_tcp.py,33792,2024-01-15 14:42:27,2024-01-15 14:42:27,2024-01-15 14:45:00
/tmp/payload_loader.pl,17408,2024-01-15 15:18:15,2024-01-15 15:18:15,2024-01-15 15:20:00
/home/user/.config/settings.conf,5632,2024-01-10 10:00:00,2024-01-12 16:00:00,2024-01-14 11:00:00
/usr/bin/grep,131072,2024-01-05 08:00:00,2024-01-05 08:00:00,2024-01-15 14:00:00
/etc/network/interfaces,2816,2024-01-01 10:00:00,2024-01-05 12:00:00,2024-01-15 06:30:00
/dev/shm/shell_payload.sh,14336,2024-01-15 14:28:50,2024-01-15 14:28:50,2024-01-15 14:30:00
/var/log/kern.log,163840,2024-01-01 00:00:00,2024-01-16 08:00:00,2024-01-16 08:00:00
/home/user/Desktop/notes.txt,8704,2024-01-12 13:00:00,2024-01-13 10:00:00,2024-01-13 16:00:00
/tmp/exploit_db.py,44032,2024-01-15 16:12:08,2024-01-15 16:12:08,2024-01-15 16:15:00
/usr/share/man/man1/ls.1.gz,6656,2024-01-05 08:00:00,2024-01-05 08:00:00,2024-01-14 09:00:00
/var/tmp/.backdoor.php,20480,2024-01-15 15:28:44,2024-01-15 15:28:44,2024-01-15 15:30:00
/home/user/Downloads/installer.exe,4194304,2024-01-11 15:00:00,2024-01-11 15:00:00,2024-01-12 10:00:00
/etc/ssh/sshd_config,4096,2024-01-01 10:00:00,2024-01-07 11:00:00,2024-01-15 08:00:00
/tmp/reverse_handler.sh,11776,2024-01-15 14:38:22,2024-01-15 14:38:22,2024-01-15 14:40:00
/usr/lib/x86_64-linux-gnu/libc.so.6,2097152,2024-01-02 08:00:00,2024-01-02 08:00:00,2024-01-15 10:00:00
/var/www/uploads/file.txt,5120,2024-01-09 14:00:00,2024-01-14 16:00:00,2024-01-15 09:00:00
/dev/shm/.exploit_tool.py,30720,2024-01-15 15:42:17,2024-01-15 15:42:17,2024-01-15 15:45:00
/home/user/.ssh/id_rsa,3072,2024-01-01 10:00:00,2024-01-01 10:00:00,2024-01-15 08:30:00
/tmp/shell_access.pl,13824,2024-01-15 16:02:35,2024-01-15 16:02:35,2024-01-15 16:05:00
/usr/bin/nano,245760,2024-01-03 09:00:00,2024-01-03 09:00:00,2024-01-14 13:00:00
/etc/crontab,1024,2024-01-01 10:00:00,2024-01-10 14:00:00,2024-01-15 06:00:00
/var/tmp/payload_inject.sh,16896,2024-01-15 14:15:48,2024-01-15 14:15:48,2024-01-15 14:18:00
/home/user/backup/archive.tar.gz,8388608,2024-01-06 20:00:00,2024-01-06 20:00:00,2024-01-13 11:00:00
/usr/local/bin/script.sh,7168,2024-01-04 15:00:00,2024-01-09 12:00:00,2024-01-14 14:00:00
/tmp/.reverse_shell.py,25600,2024-01-15 15:55:29,2024-01-15 15:55:29,2024-01-15 15:58:00
/dev/shm/backdoor_server.pl,28672,2024-01-15 14:48:11,2024-01-15 14:48:11,2024-01-15 14:50:00
/var/spool/cron/crontabs/root,2048,2024-01-01 10:00:00,2024-01-08 13:00:00,2024-01-15 07:00:00
/home/user/Pictures/vacation.jpg,1048576,2024-01-08 16:00:00,2024-01-08 16:00:00,2024-01-12 19:00:00
/etc/resolv.conf,512,2024-01-01 10:00:00,2024-01-11 09:00:00,2024-01-15 06:30:00
/tmp/exploit_code.sh,18944,2024-01-15 16:25:53,2024-01-15 16:25:53,2024-01-15 16:28:00
/usr/bin/python3.10,14680064,2024-01-02 14:00:00,2024-01-02 14:00:00,2024-01-15 11:30:00
/var/tmp/shell_bind.php,21504,2024-01-15 15:08:36,2024-01-15 15:08:36,2024-01-15 15:10:00
/home/admin/scripts/backup.sh,10752,2024-01-05 09:00:00,2024-01-10 14:00:00,2024-01-14 08:00:00
/etc/apt/sources.list,3328,2024-01-01 10:00:00,2024-01-06 10:00:00,2024-01-15 07:00:00
/dev/shm/.payload.sh,12288,2024-01-15 16:15:41,2024-01-15 16:15:41,2024-01-15 16:18:00
/tmp/backdoor_reverse.py,36864,2024-01-15 14:22:19,2024-01-15 14:22:19,2024-01-15 14:25:00
/usr/share/icons/icon.png,16384,2024-01-04 12:00:00,2024-01-04 12:00:00,2024-01-13 15:00:00
/var/log/apache2/access.log,327680,2024-01-01 00:00:00,2024-01-16 11:00:00,2024-01-16 11:00:00
/home/user/.bash_history,14336,2024-01-01 10:00:00,2024-01-15 18:00:00,2024-01-15 18:00:00
/tmp/.exploit.pl,19968,2024-01-15 15:32:47,2024-01-15 15:32:47,2024-01-15 15:35:00
/usr/bin/gcc,1310720,2024-01-03 10:00:00,2024-01-03 10:00:00,2024-01-14 11:00:00
/etc/hostname,32,2024-01-01 10:00:00,2024-01-01 10:00:00,2024-01-15 06:00:00
/var/tmp/reverse_access.sh,14848,2024-01-15 16:05:24,2024-01-15 16:05:24,2024-01-15 16:08:00
/dev/shm/shell_exec.php,23552,2024-01-15 14:35:58,2024-01-15 14:35:58,2024-01-15 14:38:00
/home/user/Templates/template.odt,49152,2024-01-09 11:00:00,2024-01-09 11:00:00,2024-01-12 13:00:00
/tmp/payload_run.py,31744,2024-01-15 15:48:12,2024-01-15 15:48:12,2024-01-15 15:50:00
/usr/local/etc/config.yaml,6144,2024-01-05 13:00:00,2024-01-11 10:00:00,2024-01-14 12:00:00
/etc/systemd/system/service.service,2560,2024-01-01 10:00:00,2024-01-07 14:00:00,2024-01-15 06:30:00
/var/tmp/.hidden_backdoor.pl,17920,2024-01-15 14:58:03,2024-01-15 14:58:03,2024-01-15 15:00:00
/home/user/Videos/movie.mkv,52428800,2024-01-10 21:00:00,2024-01-10 21:00:00,2024-01-13 22:00:00
/tmp/shell_remote.sh,13312,2024-01-15 16:18:47,2024-01-15 16:18:47,2024-01-15 16:20:00
/usr/bin/wget,655360,2024-01-05 08:00:00,2024-01-05 08:00:00,2024-01-15 13:30:00
/dev/shm/exploit_framework.py,47104,2024-01-15 15:12:28,2024-01-15 15:12:28,2024-01-15 15:15:00
/var/www/html/uploads/image.jpg,131072,2024-01-09 15:00:00,2024-01-14 17:00:00,2024-01-15 10:00:00
/etc/timezone,16,2024-01-01 10:00:00,2024-01-01 10:00:00,2024-01-15 06:00:00
/tmp/backdoor_inject.php,24576,2024-01-15 14:12:55,2024-01-15 14:12:55,2024-01-15 14:15:00
/home/user/.vimrc,4096,2024-01-01 10:00:00,2024-01-08 09:00:00,2024-01-14 10:00:00
/var/tmp/exploit_scanner.py,40960,2024-01-15 15:42:09,2024-01-15 15:42:09,2024-01-15 15:45:00
/usr/share/locale/en/LC_MESSAGES/bash.mo,32768,2024-01-03 12:00:00,2024-01-03 12:00:00,2024-01-14 08:00:00
/tmp/.shell_bind.pl,15360,2024-01-15 16:28:33,2024-01-15 16:28:33,2024-01-15 16:30:00
/dev/shm/reverse_backdoor.sh,11264,2024-01-15 14:02:44,2024-01-15 14:02:44,2024-01-15 14:05:00
/etc/logrotate.conf,2048,2024-01-01 10:00:00,2024-01-06 12:00:00,2024-01-15 06:30:00
/home/user/data/spreadsheet.xlsx,65536,2024-01-11 14:00:00,2024-01-13 16:00:00,2024-01-14 10:00:00
/var/log/dpkg.log,122880,2024-01-01 00:00:00,2024-01-16 09:30:00,2024-01-16 09:30:00
/tmp/payload_exploit.sh,19456,2024-01-15 15:25:18,2024-01-15 15:25:18,2024-01-15 15:28:00
/usr/bin/curl,458752,2024-01-05 08:00:00,2024-01-05 08:00:00,2024-01-15 12:00:00
/var/tmp/.reverse_connect.py,29184,2024-01-15 16:08:51,2024-01-15 16:08:51,2024-01-15 16:10:00
/dev/shm/.backdoor_shell.php,26624,2024-01-15 15:52:37,2024-01-15 15:52:37,2024-01-15 15:55:00
/etc/profile,8192,2024-01-01 10:00:00,2024-01-01 10:00:00,2024-01-15 08:00:00
/home/user/.mozilla/firefox/profile.ini,1536,2024-01-01 10:00:00,2024-01-12 18:00:00,2024-01-15 09:00:00
/tmp/shell_tool.py,33280,2024-01-15 14:45:29,2024-01-15 14:45:29,2024-01-15 14:48:00
/usr/lib/ssl/openssl.cnf,10240,2024-01-02 08:00:00,2024-01-02 08:00:00,2024-01-14 15:00:00
/var/tmp/backdoor_listener.sh,18432,2024-01-15 14:25:41,2024-01-15 14:25:41,2024-01-15 14:28:00
/home/admin/.bashrc,4608,2024-01-01 10:00:00,2024-01-07 10:00:00,2024-01-15 08:00:00
/tmp/.payload_reverse.pl,22016,2024-01-15 15:18:56,2024-01-15 15:18:56,2024-01-15 15:20:00
/dev/shm/exploit_payload.sh,15872,2024-01-15 16:22:15,2024-01-15 16:22:15,2024-01-15 16:25:00
/usr/bin/zip,229376,2024-01-05 08:00:00,2024-01-05 08:00:00,2024-01-14 17:00:00
/etc/environment,128,2024-01-01 10:00:00,2024-01-01 10:00:00,2024-01-15 06:00:00
/var/log/messages,409600,2024-01-01 00:00:00,2024-01-16 10:30:00,2024-01-16 10:30:00
/home/user/Public/shared.txt,9216,2024-01-10 12:00:00,2024-01-13 14:00:00,2024-01-14 16:00:00
